Sorting,caseID,Activity Name,Timestamp
52,5,Package Picked Up by Carrier,2020-03-05 23:40:52
53,5,Package Shipped by Air,2020-03-07 5:16:01
54,5,Parcel Received at Customs,2020-03-08 23:09:51
55,5,Customs Approved,2020-03-09 15:55:31
56,5,Package Received at Store,2020-03-09 19:59:05
57,6,Purchase Requisition Created,2021-12-05 15:30:00
58,6,Purchase Order Reviewed,2021-12-05 15:30:00
59,6,Purchase Order Approved,2021-12-09 9:19:41
60,6,Order Placed with Vendor,2021-12-09 12:28:52
61,6,Vendor Ships Package from Warehouse,2021-12-09 18:42:33
62,6,Package Picked Up by Carrier,2021-12-12 15:55:50
63,6,Package Shipped by Sea,2021-12-13 8:00:00
64,6,Parcel Received at Customs,2021-12-31 3:37:21
65,6,Customs Approved,2021-12-31 22:42:04
66,6,Package Received at Store,2022-01-01 3:06:02
67,7,Purchase Requisition Created,2021-03-07 19:20:00
68,7,Purchase Order Reviewed,2021-03-07 19:20:00
69,7,Purchase Order Approved,2021-03-11 20:09:53
70,7,Order Placed with Vendor,2021-03-12 3:18:31
71,7,Vendor Ships Package from Warehouse,2021-03-12 6:48:50
72,7,Package Picked Up by Carrier,2021-03-16 6:38:35
73,7,Order Cancelled,2021-03-16 20:44:30
74,8,Purchase Requisition Created,2021-12-20 16:22:00
75,8,Purchase Order Reviewed,2021-12-20 16:22:00
76,8,Purchase Order Approved,2021-12-25 6:30:42
77,8,Negotiations with Vendor,2021-12-25 11:19:10
78,8,Order Cancelled,2021-12-26 23:38:22
79,9,Purchase Requisition Created,2020-11-09 18:50:00
80,9,Purchase Order Reviewed,2020-11-09 18:50:00
81,9,Purchase Order Approved,2020-11-14 12:50:36
82,9,Order Placed with Vendor,2020-11-14 14:50:20
83,9,Vendor Ships Package from Warehouse,2020-11-14 17:34:14
84,9,Package Picked Up by Carrier,2020-11-17 6:27:27
85,9,Package Shipped by Sea,2020-11-18 7:08:38
86,9,Parcel Received at Customs,2020-12-05 18:48:39
87,9,Customs Approved,2020-12-06 10:12:42
88,9,Package Received at Warehouse,2020-12-06 14:04:14
89,9,Package Transferred to Store,2020-12-06 19:13:04
90,9,Package Received at Store,2020-12-08 5:50:10
91,10,Purchase Requisition Created,2021-07-27 0:10:00
92,10,Purchase Order Reviewed,2021-07-27 0:10:00
93,10,Purchase Order Approved,2021-07-31 2:13:45
94,10,Negotiations with Vendor,2021-07-31 3:51:12
95,10,Order Placed with Vendor,2021-08-04 4:39:19
96,10,Vendor Ships Package from Warehouse,2021-08-04 8:31:10
97,10,Package Picked Up by Carrier,2021-08-07 23:27:38
98,10,Package Shipped by Sea,2021-08-08 13:46:59
99,10,Parcel Received at Customs,2021-08-28 6:16:27
100,10,Customs Approved,2021-08-29 4:05:36
101,10,Package Received at Store,2021-08-29 7:10:40
102,11,Purchase Requisition Created,2020-08-11 1:54:00
103,11,Purchase Order Reviewed,2020-08-11 1:54:00
104,11,Purchase Order Approved,2020-08-13 3:36:11
105,11,Negotiations with Vendor,2020-08-13 6:26:57
106,11,Order Placed with Vendor,2020-08-17 20:23:08
107,11,Vendor Ships Package from Warehouse,2020-08-17 23:22:59
108,11,Package Picked Up by Carrier,2020-08-22 0:22:52
109,11,Package Shipped by Sea,2020-08-22 12:15:53
110,11,Parcel Received at Customs,2020-09-11 1:33:14
111,11,Customs Approved,2020-09-11 23:10:23
112,11,Package Received at Store,2020-09-12 4:41:42
113,12,Purchase Requisition Created,2020-06-27 10:50:00
114,12,Purchase Order Reviewed,2020-06-27 10:50:00
115,12,Purchase Order Approved,2020-07-01 15:26:05
116,12,Negotiations with Vendor,2020-07-01 16:26:28
117,12,Order Placed with Vendor,2020-07-06 1:55:00
118,12,Vendor Ships Package from Warehouse,2020-07-06 5:25:17
119,12,Order Cancelled,2020-07-09 2:19:50
120,13,Purchase Requisition Created,2020-04-23 7:06:00
121,13,Purchase Order Reviewed,2020-04-23 7:06:00
122,13,Purchase Order Approved,2020-04-26 22:12:44
123,13,Negotiations with Vendor,2020-04-27 3:49:00
124,13,Order Placed with Vendor,2020-05-01 21:56:08
125,13,Vendor Ships Package from Warehouse,2020-05-02 2:13:35
126,13,Order Cancelled,2020-05-04 1:29:29
127,14,Purchase Requisition Created,2020-11-15 14:52:00
128,14,Purchase Order Reviewed,2020-11-15 14:52:00
129,14,Purchase Order Approved,2020-11-19 14:22:05
130,14,Order Placed with Vendor,2020-11-19 18:09:52
131,14,Vendor Ships Package from Warehouse,2020-11-19 23:50:51
132,14,Package Picked Up by Carrier,2020-11-21 18:33:08
133,14,Package Shipped by Sea,2020-11-22 14:43:55
134,14,Parcel Received at Customs,2020-12-11 22:30:46
135,14,Customs Approved,2020-12-12 16:58:09
136,14,Package Received at Warehouse,2020-12-12 22:41:29
137,14,Package Transferred to Store,2020-12-13 5:59:11
138,14,Package Received at Store,2020-12-14 16:32:20
139,15,Purchase Requisition Created,2020-09-18 16:32:00
140,15,Purchase Order Reviewed,2020-09-18 16:32:00
141,15,Purchase Order Approved,2020-09-20 21:45:13
142,15,Order Placed with Vendor,2020-09-21 2:25:09
143,15,Vendor Ships Package from Warehouse,2020-09-21 7:53:35
144,15,Package Picked Up by Carrier,2020-09-22 13:59:34
145,15,Package Shipped by Road,2020-09-23 20:09:06
146,15,Package Received at Warehouse,2020-09-27 3:27:49
147,15,Package Transferred to Store,2020-09-27 9:16:59
148,15,Package Received at Store,2020-09-28 9:57:58
149,16,Purchase Requisition Created,2021-12-26 7:02:00
150,16,Purchase Order Reviewed,2021-12-26 7:02:00
151,16,Purchase Order Approved,2021-12-31 6:02:57
152,16,Order Placed with Vendor,2021-12-31 11:33:22
153,16,Vendor Ships Package from Warehouse,2021-12-31 17:11:20
154,16,Package Picked Up by Carrier,2022-01-03 19:47:05
155,16,Package Shipped by Road,2022-01-05 6:27:41
156,16,Package Received at Warehouse,2022-01-08 10:25:17
157,16,Package Transferred to Store,2022-01-08 17:15:54
158,16,Package Received at Store,2022-01-10 3:31:42
159,17,Purchase Requisition Created,2020-11-28 11:14:00
160,17,Purchase Order Reviewed,2020-11-28 11:14:00
161,17,Purchase Order Approved,2020-12-01 8:44:32
162,17,Negotiations with Vendor,2020-12-01 14:03:49
163,17,Order Cancelled,2020-12-03 18:57:07
164,18,Purchase Requisition Created,2020-08-14 4:32:00
165,18,Purchase Order Reviewed,2020-08-14 4:32:00
166,18,Purchase Order Approved,2020-08-18 1:14:09
167,18,Order Placed with Vendor,2020-08-18 7:16:38
168,18,Vendor Ships Package from Warehouse,2020-08-18 9:36:06
169,18,Package Picked Up by Carrier,2020-08-20 8:25:47
170,18,Package Shipped by Sea,2020-08-21 6:50:28
171,18,Parcel Received at Customs,2020-09-03 4:50:22
172,18,Customs Approved,2020-09-03 21:06:34
173,18,Package Received at Warehouse,2020-09-04 1:10:25
174,18,Package Transferred to Store,2020-09-04 8:46:45
175,18,Package Received at Store,2020-09-05 11:40:34
176,19,Purchase Requisition Created,2021-09-12 14:20:00
177,19,Purchase Order Reviewed,2021-09-12 14:20:00
178,19,Purchase Order Approved,2021-09-14 19:03:28
179,19,Order Placed with Vendor,2021-09-14 21:06:49
180,19,Vendor Ships Package from Warehouse,2021-09-14 23:58:29
181,19,Package Picked Up by Carrier,2021-09-18 7:57:12
182,19,Package Shipped by Road,2021-09-19 19:01:20
183,19,Package Received at Store,2021-09-22 20:58:31
184,20,Purchase Requisition Created,2021-05-26 23:58:00
185,20,Purchase Order Reviewed,2021-05-26 23:58:00
186,20,Purchase Order Approved,2021-05-30 21:05:49
187,20,Negotiations with Vendor,2021-05-31 3:12:31
188,20,Order Cancelled,2021-06-03 7:48:06
189,21,Purchase Requisition Created,2021-06-19 9:04:00
190,21,Purchase Order Reviewed,2021-06-19 9:04:00
191,21,Purchase Order Approved,2021-06-20 19:33:50
192,21,Negotiations with Vendor,2021-06-21 1:26:02
193,21,Order Cancelled,2021-06-23 14:32:00
194,22,Purchase Requisition Created,2021-03-28 14:04:00
195,22,Purchase Order Reviewed,2021-03-28 14:04:00
196,22,Purchase Order Approved,2021-04-01 3:31:23
197,22,Order Placed with Vendor,2021-04-01 6:30:39
198,22,Vendor Ships Package from Warehouse,2021-04-01 11:56:31
199,22,Package Picked Up by Carrier,2021-04-04 21:04:27
200,22,Package Shipped by Sea,2021-04-06 3:04:52
201,22,Parcel Received at Customs,2021-04-16 21:12:52
202,22,Customs Denied,2021-04-17 13:11:05
203,22,Package Shipped Back to Vendor,2021-04-17 18:47:41
204,23,Purchase Requisition Created,2020-08-08 22:58:00
205,23,Purchase Order Reviewed,2020-08-08 22:58:00
206,23,Purchase Order Approved,2020-08-10 2:40:38
207,23,Order Placed with Vendor,2020-08-10 5:29:18
208,23,Vendor Ships Package from Warehouse,2020-08-10 11:44:33
209,23,Package Picked Up by Carrier,2020-08-14 5:47:58
210,23,Package Shipped by Sea,2020-08-15 2:53:48
211,23,Parcel Received at Customs,2020-08-30 19:43:10
212,23,Customs Denied,2020-08-31 18:55:09
213,23,Package Shipped Back to Vendor,2020-09-01 3:43:08
214,24,Purchase Requisition Created,2021-05-11 16:04:00
215,24,Purchase Order Reviewed,2021-05-11 16:04:00
216,24,Purchase Order Approved,2021-05-13 8:55:04
217,24,Negotiations with Vendor,2021-05-13 9:57:53
218,24,Order Placed with Vendor,2021-05-16 12:01:10
219,24,Vendor Ships Package from Warehouse,2021-05-16 15:44:40
220,24,Package Picked Up by Carrier,2021-05-18 13:14:09
221,24,Package Shipped by Sea,2021-05-19 14:56:45
222,24,Parcel Received at Customs,2021-05-31 4:11:23
223,24,Customs Denied,2021-06-01 3:53:46
224,24,Package Shipped Back to Vendor,2021-06-01 20:04:28
225,25,Purchase Requisition Created,2020-03-06 12:30:00
226,25,Purchase Order Reviewed,2020-03-06 12:30:00
227,25,Purchase Order Approved,2020-03-08 8:16:32
228,25,Negotiations with Vendor,2020-03-08 10:03:38
229,25,Order Cancelled,2020-03-10 14:26:48
230,26,Purchase Requisition Created,2021-08-26 5:02:00
231,26,Purchase Order Reviewed,2021-08-26 5:02:00
232,26,Purchase Order Approved,2021-08-30 17:28:03
233,26,Negotiations with Vendor,2021-08-30 23:48:01
234,26,Order Placed with Vendor,2021-09-04 0:05:03
235,26,Vendor Ships Package from Warehouse,2021-09-04 4:38:18
236,26,Package Picked Up by Carrier,2021-09-08 5:20:48
237,26,Package Shipped by Sea,2021-09-09 16:36:07
238,26,Parcel Received at Customs,2021-09-22 19:06:15
239,26,Customs Approved,2021-09-23 12:39:41
240,26,Package Received at Store,2021-09-23 16:45:02
241,27,Purchase Requisition Created,2021-05-11 4:20:00
242,27,Purchase Order Reviewed,2021-05-11 4:20:00
243,27,Purchase Order Approved,2021-05-15 19:50:47
244,27,Order Placed with Vendor,2021-05-15 23:44:32
245,27,Vendor Ships Package from Warehouse,2021-05-16 3:45:44
246,27,Package Picked Up by Carrier,2021-05-20 0:35:01
247,27,Package Shipped by Road,2021-05-21 11:39:41
248,27,Package Received at Store,2021-05-24 5:48:38
249,28,Purchase Requisition Created,2021-08-22 23:44:00
250,28,Purchase Order Reviewed,2021-08-22 23:44:00
251,28,Purchase Order Approved,2021-08-27 14:30:45
252,28,Negotiations with Vendor,2021-08-27 17:48:29
253,28,Order Placed with Vendor,2021-08-29 11:48:24
254,28,Vendor Ships Package from Warehouse,2021-08-29 15:58:28
255,28,Package Picked Up by Carrier,2021-09-01 17:19:57
256,28,Package Shipped by Air,2021-09-03 3:08:15
257,28,Parcel Received at Customs,2021-09-04 17:14:13
258,28,Customs Approved,2021-09-05 7:03:55
259,28,Package Received at Warehouse,2021-09-05 12:35:34
260,28,Package Transferred to Store,2021-09-05 19:26:31
261,28,Package Received at Store,2021-09-07 2:14:15
262,29,Purchase Requisition Created,2020-10-05 23:34:00
263,29,Purchase Order Reviewed,2020-10-05 23:34:00
264,29,Purchase Order Approved,2020-10-09 22:14:16
265,29,Order Placed with Vendor,2020-10-10 3:03:16
266,29,Vendor Ships Package from Warehouse,2020-10-10 5:23:40
267,29,Package Picked Up by Carrier,2020-10-14 22:31:22
268,29,Package Shipped by Sea,2020-10-15 17:03:14
269,29,Parcel Received at Customs,2020-11-02 2:10:30
270,29,Customs Approved,2020-11-02 18:47:47
271,29,Package Received at Warehouse,2020-11-03 0:39:01
272,29,Package Transferred to Store,2020-11-03 7:39:27
273,29,Package Received at Store,2020-11-04 19:19:20
274,30,Purchase Requisition Created,2021-07-17 3:48:00
275,30,Purchase Order Reviewed,2021-07-17 3:48:00
276,30,Purchase Order Approved,2021-07-21 13:39:09
277,30,Order Placed with Vendor,2021-07-21 17:55:56
278,30,Vendor Ships Package from Warehouse,2021-07-21 21:08:20
279,30,Package Picked Up by Carrier,2021-07-24 6:41:52
280,30,Package Shipped by Sea,2021-07-24 22:26:13
281,30,Changing Mode of Transport,2021-08-04 21:30:35
282,30,Package Shipped by Air,2021-08-06 15:31:17
283,30,Parcel Received at Customs,2021-08-08 8:33:53
284,30,Customs Approved,2021-08-09 5:36:11
285,30,Package Received at Warehouse,2021-08-09 9:50:29
286,30,Package Transferred to Store,2021-08-09 19:16:54
287,30,Package Received at Store,2021-08-10 23:04:46
288,31,Purchase Requisition Created,2020-02-11 8:02:00
289,31,Purchase Order Reviewed,2020-02-11 8:02:00
290,31,Purchase Order Approved,2020-02-13 14:55:35
291,31,Order Placed with Vendor,2020-02-13 18:27:10
292,31,Vendor Ships Package from Warehouse,2020-02-14 1:55:01
293,31,Package Picked Up by Carrier,2020-02-17 13:33:33
294,31,Package Shipped by Road,2020-02-18 9:01:00
295,31,Package Received at Store,2020-02-21 12:23:01
296,32,Purchase Requisition Created,2020-08-08 21:30:00
297,32,Purchase Order Reviewed,2020-08-08 21:30:00
298,32,Purchase Order Approved,2020-08-12 19:24:33
299,32,Order Placed with Vendor,2020-08-13 1:45:50
300,32,Vendor Ships Package from Warehouse,2020-08-13 5:42:59
301,32,Package Picked Up by Carrier,2020-08-17 7:54:59
302,32,Package Shipped by Road,2020-08-18 9:12:22
303,32,Package Received at Warehouse,2020-08-21 11:53:42
304,32,Package Transferred to Store,2020-08-21 21:06:06
305,32,Package Received at Store,2020-08-23 4:14:00
306,33,Purchase Requisition Created,2020-09-26 14:20:00
307,33,Purchase Order Reviewed,2020-09-26 14:20:00
308,33,Purchase Order Approved,2020-09-29 9:12:11
309,33,Negotiations with Vendor,2020-09-29 12:02:58
310,33,Order Placed with Vendor,2020-10-03 8:27:26
311,33,Vendor Ships Package from Warehouse,2020-10-03 14:37:35
312,33,Package Picked Up by Carrier,2020-10-05 9:22:03
313,33,Package Shipped by Road,2020-10-06 13:02:16
314,33,Package Received at Warehouse,2020-10-09 6:07:15
315,33,Package Transferred to Store,2020-10-09 14:55:46
316,33,Package Received at Store,2020-10-10 21:43:48
317,34,Purchase Requisition Created,2021-11-22 5:14:00
318,34,Purchase Order Reviewed,2021-11-22 5:14:00
319,34,Purchased Order Denied,2021-11-26 21:00:20
320,35,Purchase Requisition Created,2021-09-21 4:14:00
321,35,Purchase Order Reviewed,2021-09-21 4:14:00
322,35,Purchase Order Approved,2021-09-23 17:38:39
323,35,Negotiations with Vendor,2021-09-23 21:29:37
324,35,Order Placed with Vendor,2021-09-27 1:53:47
325,35,Vendor Ships Package from Warehouse,2021-09-27 5:57:43
326,35,Package Picked Up by Carrier,2021-09-30 1:42:52
327,35,Package Shipped by Road,2021-10-01 11:09:28
328,35,Package Received at Store,2021-10-04 1:30:59
329,36,Purchase Requisition Created,2021-12-19 16:28:00
330,36,Purchase Order Reviewed,2021-12-19 16:28:00
331,36,Purchase Order Approved,2021-12-21 2:25:46
332,36,Negotiations with Vendor,2021-12-21 7:28:24
333,36,Order Placed with Vendor,2021-12-24 11:05:36
334,36,Vendor Ships Package from Warehouse,2021-12-24 15:12:48
335,36,Package Picked Up by Carrier,2021-12-28 15:15:22
336,36,Package Shipped by Sea,2021-12-29 20:43:39
337,36,Parcel Received at Customs,2022-01-10 4:46:00
338,36,Customs Approved,2022-01-11 2:14:47
339,36,Package Received at Warehouse,2022-01-11 7:10:47
340,36,Package Transferred to Store,2022-01-11 16:10:22
341,36,Package Received at Store,2022-01-12 22:25:58
342,37,Purchase Requisition Created,2020-09-08 0:46:00
343,37,Purchase Order Reviewed,2020-09-08 0:46:00
344,37,Purchased Order Denied,2020-09-11 10:54:11
345,38,Purchase Requisition Created,2021-05-20 16:34:00
346,38,Purchase Order Reviewed,2021-05-20 16:34:00
347,38,Purchase Order Approved,2021-05-24 10:43:26
348,38,Order Placed with Vendor,2021-05-24 17:17:07
349,38,Vendor Ships Package from Warehouse,2021-05-24 20:34:50
350,38,Package Picked Up by Carrier,2021-05-29 19:24:56
351,38,Package Shipped by Road,2021-05-30 18:50:54
352,38,Package Received at Warehouse,2021-06-02 12:59:30
353,38,Package Transferred to Store,2021-06-02 20:21:46
354,38,Package Received at Store,2021-06-04 5:47:14
355,39,Purchase Requisition Created,2020-07-25 5:00:00
356,39,Purchase Order Reviewed,2020-07-25 5:00:00
357,39,Purchase Order Approved,2020-07-27 21:56:05
358,39,Order Placed with Vendor,2020-07-28 0:17:39
359,39,Vendor Ships Package from Warehouse,2020-07-28 4:02:48
360,39,Order Cancelled,2020-08-01 6:06:20
361,40,Purchase Requisition Created,2021-06-09 4:42:00
362,40,Purchase Order Reviewed,2021-06-09 4:42:00
363,40,Purchase Order Approved,2021-06-11 5:44:11
364,40,Negotiations with Vendor,2021-06-11 11:43:14
365,40,Order Cancelled,2021-06-15 10:10:42
366,41,Purchase Requisition Created,2020-05-14 14:22:00
367,41,Purchase Order Reviewed,2020-05-14 14:22:00
368,41,Purchase Order Approved,2020-05-17 11:22:30
369,41,Order Placed with Vendor,2020-05-17 17:49:45
370,41,Vendor Ships Package from Warehouse,2020-05-17 21:32:53
371,41,Package Picked Up by Carrier,2020-05-20 16:32:25
372,41,Package Shipped by Road,2020-05-21 3:04:20
373,41,Package Received at Warehouse,2020-05-23 23:54:53
374,41,Package Transferred to Store,2020-05-24 9:02:58
375,41,Package Received at Store,2020-05-25 12:51:44
376,42,Purchase Requisition Created,2021-11-09 17:56:00
377,42,Purchase Order Reviewed,2021-11-09 17:56:00
378,42,Purchase Order Approved,2021-11-12 16:23:43
379,42,Order Placed with Vendor,2021-11-12 19:16:32
380,42,Vendor Ships Package from Warehouse,2021-11-13 3:14:19
381,42,Package Picked Up by Carrier,2021-11-14 20:31:04
382,42,Package Shipped by Sea,2021-11-15 6:42:01
383,42,Parcel Received at Customs,2021-12-01 9:06:45
384,42,Customs Denied,2021-12-02 2:12:47
385,42,Package Shipped Back to Vendor,2021-12-02 21:30:48
386,43,Purchase Requisition Created,2020-12-26 23:18:00
387,43,Purchase Order Reviewed,2020-12-26 23:18:00
388,43,Purchase Order Approved,2020-12-31 9:08:07
389,43,Order Placed with Vendor,2020-12-31 11:13:36
390,43,Vendor Ships Package from Warehouse,2020-12-31 17:11:22
391,43,Package Picked Up by Carrier,2021-01-03 1:18:12
392,43,Package Shipped by Road,2021-01-04 1:36:06
393,43,Package Received at Store,2021-01-06 15:31:32
394,44,Purchase Requisition Created,2021-01-02 15:20:00
395,44,Purchase Order Reviewed,2021-01-02 15:20:00
396,44,Purchase Order Approved,2021-01-05 16:39:11
397,44,Order Placed with Vendor,2021-01-06 0:35:20
398,44,Vendor Ships Package from Warehouse,2021-01-06 8:12:05
399,44,Package Picked Up by Carrier,2021-01-10 4:21:11
400,44,Package Shipped by Road,2021-01-10 21:07:08
401,44,Package Received at Store,2021-01-13 21:51:03
402,45,Purchase Requisition Created,2021-03-22 17:06:00
403,45,Purchase Order Reviewed,2021-03-22 17:06:00
404,45,Purchase Order Approved,2021-03-26 20:29:35
405,45,Negotiations with Vendor,2021-03-26 22:07:43
406,45,Order Placed with Vendor,2021-03-30 2:04:19
407,45,Vendor Ships Package from Warehouse,2021-03-30 5:11:17
408,45,Package Picked Up by Carrier,2021-04-03 18:31:48
409,45,Order Cancelled,2021-04-04 19:26:23
410,46,Purchase Requisition Created,2020-07-22 11:36:00
411,46,Purchase Order Reviewed,2020-07-22 11:36:00
412,46,Purchase Order Approved,2020-07-23 15:14:53
413,46,Negotiations with Vendor,2020-07-23 17:52:14
414,46,Order Placed with Vendor,2020-07-25 20:02:24
415,46,Vendor Ships Package from Warehouse,2020-07-26 1:28:15
416,46,Package Picked Up by Carrier,2020-07-28 4:48:27
417,46,Package Shipped by Air,2020-07-28 20:04:28
418,46,Parcel Received at Customs,2020-07-30 8:13:37
419,46,Customs Approved,2020-07-31 7:47:36
420,46,Package Received at Store,2020-07-31 13:16:36
421,47,Purchase Requisition Created,2020-09-29 18:36:00
422,47,Purchase Order Reviewed,2020-09-29 18:36:00
423,47,Purchase Order Approved,2020-10-03 3:05:33
424,47,Order Placed with Vendor,2020-10-03 6:19:22
425,47,Vendor Ships Package from Warehouse,2020-10-03 11:13:00
426,47,Package Picked Up by Carrier,2020-10-07 4:40:53
427,47,Package Shipped by Road,2020-10-08 2:30:07
428,47,Package Received at Warehouse,2020-10-11 5:41:50
429,47,Package Transferred to Store,2020-10-11 12:24:08
430,47,Package Received at Store,2020-10-12 23:18:56
431,48,Purchase Requisition Created,2020-06-11 23:42:00
432,48,Purchase Order Reviewed,2020-06-11 23:42:00
433,48,Purchase Order Approved,2020-06-16 3:20:00
434,48,Order Placed with Vendor,2020-06-16 11:08:47
435,48,Vendor Ships Package from Warehouse,2020-06-16 13:24:18
436,48,Order Cancelled,2020-06-19 10:02:07
437,49,Purchase Requisition Created,2021-07-12 19:16:00
438,49,Purchase Order Reviewed,2021-07-12 19:16:00
439,49,Purchase Order Approved,2021-07-16 13:46:10
440,49,Order Placed with Vendor,2021-07-16 20:25:01
441,49,Vendor Ships Package from Warehouse,2021-07-16 23:30:17
442,49,Package Picked Up by Carrier,2021-07-18 16:39:18
443,49,Package Shipped by Sea,2021-07-19 14:06:26
444,49,Parcel Received at Customs,2021-08-04 19:26:02
445,49,Customs Approved,2021-08-05 12:27:03
446,49,Package Received at Store,2021-08-05 17:27:42
447,50,Purchase Requisition Created,2020-12-31 8:28:00
448,50,Purchase Order Reviewed,2020-12-31 8:28:00
449,50,Purchase Order Approved,2021-01-01 9:42:44
450,50,Negotiations with Vendor,2021-01-01 12:30:53
451,50,Order Placed with Vendor,2021-01-04 1:26:46
452,50,Vendor Ships Package from Warehouse,2021-01-04 5:42:40
453,50,Package Picked Up by Carrier,2021-01-08 23:57:24
454,50,Package Shipped by Sea,2021-01-10 9:11:07
455,50,Parcel Received at Customs,2021-01-22 3:36:36
456,50,Customs Denied,2021-01-22 22:07:50
457,50,Package Shipped Back to Vendor,2021-01-23 5:58:45
458,51,Purchase Requisition Created,2021-08-08 16:52:00
459,51,Purchase Order Reviewed,2021-08-08 16:52:00
460,51,Purchase Order Approved,2021-08-10 17:50:48
461,51,Negotiations with Vendor,2021-08-11 0:45:52
462,51,Order Placed with Vendor,2021-08-15 21:02:37
463,51,Vendor Ships Package from Warehouse,2021-08-16 2:41:22
464,51,Package Picked Up by Carrier,2021-08-20 3:53:46
465,51,Package Shipped by Sea,2021-08-21 14:36:01
466,51,Parcel Received at Customs,2021-09-04 12:33:02
467,51,Customs Denied,2021-09-05 3:40:26
468,51,Package Shipped Back to Vendor,2021-09-05 10:06:02
469,52,Purchase Requisition Created,2021-10-21 14:56:00
470,52,Purchase Order Reviewed,2021-10-21 14:56:00
471,52,Purchase Order Approved,2021-10-24 20:02:10
472,52,Order Placed with Vendor,2021-10-25 2:48:31
473,52,Vendor Ships Package from Warehouse,2021-10-25 7:38:03
474,52,Package Picked Up by Carrier,2021-10-26 20:29:59
475,52,Package Shipped by Sea,2021-10-28 4:25:02
476,52,Parcel Received at Customs,2021-11-16 11:39:33
477,52,Customs Denied,2021-11-17 9:08:48
478,52,Package Shipped Back to Vendor,2021-11-17 23:21:12
479,53,Purchase Requisition Created,2020-05-31 6:44:00
480,53,Purchase Order Reviewed,2020-05-31 6:44:00
481,53,Purchase Order Approved,2020-06-01 12:59:26
482,53,Order Placed with Vendor,2020-06-01 20:36:01
483,53,Vendor Ships Package from Warehouse,2020-06-02 1:52:09
484,53,Package Picked Up by Carrier,2020-06-04 15:29:48
485,53,Package Shipped by Sea,2020-06-05 10:14:19
486,53,Parcel Received at Customs,2020-06-16 3:02:58
487,53,Customs Approved,2020-06-16 15:41:09
488,53,Package Received at Store,2020-06-16 21:03:27
489,54,Purchase Requisition Created,2021-11-10 3:38:00
490,54,Purchase Order Reviewed,2021-11-10 3:38:00
491,54,Purchase Order Approved,2021-11-14 12:47:04
492,54,Order Placed with Vendor,2021-11-14 17:08:42
493,54,Vendor Ships Package from Warehouse,2021-11-14 23:58:07
494,54,Package Picked Up by Carrier,2021-11-18 11:21:20
495,54,Package Shipped by Road,2021-11-19 23:10:06
