Sorting,caseID,Material Code,Material,Vendor,Amount Ordered
39,40,SI7017,Commodity Resins,Sunlight Industries,3.220848086
40,41,CP4560,Titanium Dioxides,ColorPlus Manufacturing,8.741123044
41,42,SI0179,Latex & Monomers,Sunlight Industries,46.74227357
42,43,CP7899,Pigments & Colorants,ColorPlus Manufacturing,56.66269948
43,44,SI8599,Solvents,Sunlight Industries,34.75658889
44,45,SI7017,Commodity Resins,Sunlight Industries,3.167674605
45,46,PO9342,Packaging,Pioneer Packaging,27.30032478
46,47,SI0179,Latex & Monomers,Sunlight Industries,51.08755491
47,48,SI9085,Additives,Sunlight Industries,33.13025569
48,49,SI8599,Solvents,Sunlight Industries,36.93810016
49,50,SI8599,Solvents,Sunlight Industries,35.73961228
50,51,SI0179,Latex & Monomers,Sunlight Industries,70.68247307
51,52,CP7899,Pigments & Colorants,ColorPlus Manufacturing,115.1580506
52,53,SI8599,Solvents,Sunlight Industries,22.92435243
53,54,SI9085,Additives,Sunlight Industries,33.35704528
54,55,SI7017,Commodity Resins,Sunlight Industries,4.765218958
55,56,CP7899,Pigments & Colorants,ColorPlus Manufacturing,127.5775375
56,57,SI8599,Solvents,Sunlight Industries,54.02410641
57,58,SI0179,Latex & Monomers,Sunlight Industries,60.340091
58,59,PO9342,Packaging,Pioneer Packaging,11.68322317
59,60,CP5644,Specialty Resins,ColorPlus Manufacturing,22.72993131
60,61,SI7017,Commodity Resins,Sunlight Industries,4.889622377
61,62,SI8599,Solvents,Sunlight Industries,48.98148393
62,63,CP5644,Specialty Resins,ColorPlus Manufacturing,34.26724132
63,64,SI9085,Additives,Sunlight Industries,77.98398065
64,65,SI8599,Solvents,Sunlight Industries,20.28305488
65,66,SI0179,Latex & Monomers,Sunlight Industries,92.68979029
66,67,CP5644,Specialty Resins,ColorPlus Manufacturing,22.24936989
67,68,SI9085,Additives,Sunlight Industries,21.07965459
68,69,PO9342,Packaging,Pioneer Packaging,27.14164069
69,70,CP7899,Pigments & Colorants,ColorPlus Manufacturing,40.18989385
70,71,PO9342,Packaging,Pioneer Packaging,10.21801831
71,72,SI7017,Commodity Resins,Sunlight Industries,6.892108315
72,73,CP7899,Pigments & Colorants,ColorPlus Manufacturing,62.12769414
73,74,CP5644,Specialty Resins,ColorPlus Manufacturing,22.38028048
74,75,SI8599,Solvents,Sunlight Industries,49.53197533
75,76,SI7017,Commodity Resins,Sunlight Industries,7.399714403
76,77,PO9342,Packaging,Pioneer Packaging,19.43327893
77,78,CP5644,Specialty Resins,ColorPlus Manufacturing,15.80676136
78,79,SI7017,Commodity Resins,Sunlight Industries,8.788200219
79,80,CP7899,Pigments & Colorants,ColorPlus Manufacturing,37.68741211
80,81,SI0179,Latex & Monomers,Sunlight Industries,68.3169929
81,82,PO9342,Packaging,Pioneer Packaging,10.27556215
82,83,SI8599,Solvents,Sunlight Industries,24.69478922
83,84,PO9342,Packaging,Pioneer Packaging,13.61693513
84,85,PO9342,Packaging,Pioneer Packaging,21.32021433
85,86,PO9342,Packaging,Pioneer Packaging,29.78558941
86,87,CP7899,Pigments & Colorants,ColorPlus Manufacturing,100.5706124
87,88,CP4560,Titanium Dioxides,ColorPlus Manufacturing,9.021831809
88,89,SI9085,Additives,Sunlight Industries,69.81254162
89,90,PO9342,Packaging,Pioneer Packaging,27.07560095
90,91,SI9085,Additives,Sunlight Industries,79.60546014
91,92,CP5644,Specialty Resins,ColorPlus Manufacturing,38.45695817
92,93,PO9342,Packaging,Pioneer Packaging,11.65470916
93,94,CP4560,Titanium Dioxides,ColorPlus Manufacturing,7.647625156
94,95,SI9085,Additives,Sunlight Industries,44.81255119
95,96,PO9342,Packaging,Pioneer Packaging,25.59858443
96,97,SI7017,Commodity Resins,Sunlight Industries,7.912004144
97,98,CP4560,Titanium Dioxides,ColorPlus Manufacturing,11.1658664
98,99,CP7899,Pigments & Colorants,ColorPlus Manufacturing,138.6195767
99,100,SI9085,Additives,Sunlight Industries,61.23735099
100,101,SI8599,Solvents,Sunlight Industries,34.01075591
101,102,SI9085,Additives,Sunlight Industries,11.85203255
102,103,SI7017,Commodity Resins,Sunlight Industries,8.859811944
103,104,CP7899,Pigments & Colorants,ColorPlus Manufacturing,137.2117999
104,105,SI8599,Solvents,Sunlight Industries,44.90500611
105,106,SI8599,Solvents,Sunlight Industries,41.93309939
106,107,SI9085,Additives,Sunlight Industries,74.66355948
107,108,CP4560,Titanium Dioxides,ColorPlus Manufacturing,14.23033613
108,109,SI8599,Solvents,Sunlight Industries,42.50030307
109,110,PO9342,Packaging,Pioneer Packaging,11.00276228
110,111,PO9342,Packaging,Pioneer Packaging,12.70286898
111,112,SI7017,Commodity Resins,Sunlight Industries,8.062540116
112,113,PO9342,Packaging,Pioneer Packaging,13.23604773
113,114,SI8599,Solvents,Sunlight Industries,48.7838309
114,115,SI7017,Commodity Resins,Sunlight Industries,3.388640167
115,116,SI9085,Additives,Sunlight Industries,23.71622489
116,117,SI7017,Commodity Resins,Sunlight Industries,8.978201932
117,118,CP7899,Pigments & Colorants,ColorPlus Manufacturing,83.7542431
118,119,CP7899,Pigments & Colorants,ColorPlus Manufacturing,114.1048442
119,120,SI0179,Latex & Monomers,Sunlight Industries,81.09921793
120,121,SI0179,Latex & Monomers,Sunlight Industries,32.95258505
121,122,SI0179,Latex & Monomers,Sunlight Industries,74.2091746
122,123,PO9342,Packaging,Pioneer Packaging,22.85999805
123,124,PO9342,Packaging,Pioneer Packaging,28.44822787
124,125,SI9085,Additives,Sunlight Industries,19.01486003
125,126,SI7017,Commodity Resins,Sunlight Industries,7.238022938
126,127,SI7017,Commodity Resins,Sunlight Industries,4.05017964
127,128,CP4560,Titanium Dioxides,ColorPlus Manufacturing,5.731414126
128,129,CP5644,Specialty Resins,ColorPlus Manufacturing,27.79313269
129,130,CP4560,Titanium Dioxides,ColorPlus Manufacturing,14.0429143
130,131,CP7899,Pigments & Colorants,ColorPlus Manufacturing,35.86063249
131,132,SI8599,Solvents,Sunlight Industries,37.60276132
132,133,CP7899,Pigments & Colorants,ColorPlus Manufacturing,52.98560625
133,134,PO9342,Packaging,Pioneer Packaging,26.19871524
134,135,SI9085,Additives,Sunlight Industries,53.56212829
135,136,CP5644,Specialty Resins,ColorPlus Manufacturing,27.62720001
136,137,SI7017,Commodity Resins,Sunlight Industries,5.318341734
137,138,SI8599,Solvents,Sunlight Industries,22.1055508
138,139,CP4560,Titanium Dioxides,ColorPlus Manufacturing,9.027477111
139,140,CP5644,Specialty Resins,ColorPlus Manufacturing,24.95410089
140,141,PO9342,Packaging,Pioneer Packaging,16.42913476
141,142,SI9085,Additives,Sunlight Industries,62.26072056
142,143,CP5644,Specialty Resins,ColorPlus Manufacturing,15.0121167
143,144,CP4560,Titanium Dioxides,ColorPlus Manufacturing,6.915179836
144,145,CP4560,Titanium Dioxides,ColorPlus Manufacturing,8.492136378
145,146,SI9085,Additives,Sunlight Industries,40.29722275
146,147,SI8599,Solvents,Sunlight Industries,28.46826109
147,148,PO9342,Packaging,Pioneer Packaging,29.20979364
148,149,SI9085,Additives,Sunlight Industries,63.01257909
149,150,CP5644,Specialty Resins,ColorPlus Manufacturing,33.90339925
150,151,SI0179,Latex & Monomers,Sunlight Industries,96.96595115
151,152,CP4560,Titanium Dioxides,ColorPlus Manufacturing,10.74503152
152,153,SI9085,Additives,Sunlight Industries,51.48771986
153,154,SI9085,Additives,Sunlight Industries,53.03876739
154,155,SI9085,Additives,Sunlight Industries,55.53170975
155,156,SI0179,Latex & Monomers,Sunlight Industries,76.50432028
156,157,PO9342,Packaging,Pioneer Packaging,24.90263497
157,158,SI0179,Latex & Monomers,Sunlight Industries,39.7703845
158,159,CP7899,Pigments & Colorants,ColorPlus Manufacturing,71.01678076
159,160,SI8599,Solvents,Sunlight Industries,44.43518681
160,161,PO9342,Packaging,Pioneer Packaging,22.62658509
161,162,CP4560,Titanium Dioxides,ColorPlus Manufacturing,11.18457605
162,163,PO9342,Packaging,Pioneer Packaging,23.54718813
163,164,SI9085,Additives,Sunlight Industries,69.35911982
164,165,SI7017,Commodity Resins,Sunlight Industries,5.976392242
165,166,SI9085,Additives,Sunlight Industries,31.6518329
166,167,CP5644,Specialty Resins,ColorPlus Manufacturing,39.41523115
167,168,PO9342,Packaging,Pioneer Packaging,15.07185064
168,169,CP5644,Specialty Resins,ColorPlus Manufacturing,21.56847576
169,170,SI7017,Commodity Resins,Sunlight Industries,8.015650805
170,171,CP5644,Specialty Resins,ColorPlus Manufacturing,43.44027704
171,172,SI0179,Latex & Monomers,Sunlight Industries,55.77352355
172,173,SI9085,Additives,Sunlight Industries,26.99585703
173,174,SI9085,Additives,Sunlight Industries,74.47175604
174,175,CP4560,Titanium Dioxides,ColorPlus Manufacturing,5.700887055
175,176,SI8599,Solvents,Sunlight Industries,46.4542783
176,177,PO9342,Packaging,Pioneer Packaging,10.14171473
177,178,SI9085,Additives,Sunlight Industries,22.20289962
178,179,SI0179,Latex & Monomers,Sunlight Industries,99.43381804
179,180,CP5644,Specialty Resins,ColorPlus Manufacturing,34.56963696
180,181,CP4560,Titanium Dioxides,ColorPlus Manufacturing,11.91391485
181,182,SI9085,Additives,Sunlight Industries,51.65714653
182,183,PO9342,Packaging,Pioneer Packaging,19.86591943
183,184,CP5644,Specialty Resins,ColorPlus Manufacturing,19.03309206
184,185,CP4560,Titanium Dioxides,ColorPlus Manufacturing,12.30028382
185,186,CP5644,Specialty Resins,ColorPlus Manufacturing,42.52189694
186,187,CP7899,Pigments & Colorants,ColorPlus Manufacturing,61.22622527
187,188,CP5644,Specialty Resins,ColorPlus Manufacturing,17.36340059
188,189,CP7899,Pigments & Colorants,ColorPlus Manufacturing,149.1525555
189,190,SI7017,Commodity Resins,Sunlight Industries,9.280818322
190,191,CP4560,Titanium Dioxides,ColorPlus Manufacturing,14.89994299
191,192,CP5644,Specialty Resins,ColorPlus Manufacturing,20.65135058
192,193,PO9342,Packaging,Pioneer Packaging,14.80346447
193,194,SI7017,Commodity Resins,Sunlight Industries,3.914643426
194,195,CP7899,Pigments & Colorants,ColorPlus Manufacturing,143.8021728
195,196,CP4560,Titanium Dioxides,ColorPlus Manufacturing,14.70068986
196,197,SI8599,Solvents,Sunlight Industries,59.51007614
197,198,CP7899,Pigments & Colorants,ColorPlus Manufacturing,140.9054861
198,199,CP7899,Pigments & Colorants,ColorPlus Manufacturing,85.84926907
199,200,SI0179,Latex & Monomers,Sunlight Industries,65.50115322
200,201,SI0179,Latex & Monomers,Sunlight Industries,90.05403499
201,202,SI9085,Additives,Sunlight Industries,13.92964884
202,203,SI8599,Solvents,Sunlight Industries,44.85078476
203,204,PO9342,Packaging,Pioneer Packaging,24.15864246
204,205,SI9085,Additives,Sunlight Industries,20.31585435
205,206,SI7017,Commodity Resins,Sunlight Industries,9.483516847
206,207,CP4560,Titanium Dioxides,ColorPlus Manufacturing,7.392428507
207,208,CP4560,Titanium Dioxides,ColorPlus Manufacturing,6.314605555
208,209,PO9342,Packaging,Pioneer Packaging,14.87524861
209,210,SI9085,Additives,Sunlight Industries,55.77148766
210,211,CP5644,Specialty Resins,ColorPlus Manufacturing,18.65441027
211,212,SI8599,Solvents,Sunlight Industries,25.86409091
212,213,PO9342,Packaging,Pioneer Packaging,10.81845854
213,214,CP7899,Pigments & Colorants,ColorPlus Manufacturing,77.80582083
214,215,SI8599,Solvents,Sunlight Industries,59.51536005
215,216,SI9085,Additives,Sunlight Industries,70.97575039
216,217,SI0179,Latex & Monomers,Sunlight Industries,81.40783413
217,218,CP7899,Pigments & Colorants,ColorPlus Manufacturing,134.7892931
218,219,SI7017,Commodity Resins,Sunlight Industries,6.890090803
219,220,PO9342,Packaging,Pioneer Packaging,21.10831795
220,221,CP5644,Specialty Resins,ColorPlus Manufacturing,40.74842638
221,222,CP4560,Titanium Dioxides,ColorPlus Manufacturing,14.87824762
222,223,CP7899,Pigments & Colorants,ColorPlus Manufacturing,40.44878959
223,224,SI8599,Solvents,Sunlight Industries,33.8210837
224,225,CP5644,Specialty Resins,ColorPlus Manufacturing,40.52947882
225,226,SI7017,Commodity Resins,Sunlight Industries,6.718939876
226,227,CP5644,Specialty Resins,ColorPlus Manufacturing,19.24870553
227,228,CP5644,Specialty Resins,ColorPlus Manufacturing,15.51523979
228,229,SI7017,Commodity Resins,Sunlight Industries,4.007311771
229,230,PO9342,Packaging,Pioneer Packaging,19.01425325
230,231,CP7899,Pigments & Colorants,ColorPlus Manufacturing,63.93720457
231,232,CP5644,Specialty Resins,ColorPlus Manufacturing,25.42861163
232,233,SI7017,Commodity Resins,Sunlight Industries,8.407376269
233,234,PO9342,Packaging,Pioneer Packaging,27.35749388
234,235,SI7017,Commodity Resins,Sunlight Industries,8.893008579
235,236,PO9342,Packaging,Pioneer Packaging,21.53487809
236,237,SI9085,Additives,Sunlight Industries,40.72572115
237,238,CP4560,Titanium Dioxides,ColorPlus Manufacturing,5.766154564
238,239,SI8599,Solvents,Sunlight Industries,58.57532214
239,240,CP5644,Specialty Resins,ColorPlus Manufacturing,38.61242051
240,241,CP5644,Specialty Resins,ColorPlus Manufacturing,42.42174385
241,242,SI9085,Additives,Sunlight Industries,44.74960334
242,243,PO9342,Packaging,Pioneer Packaging,15.08065199
243,244,SI8599,Solvents,Sunlight Industries,54.16033417
244,245,SI9085,Additives,Sunlight Industries,21.18371209
245,246,CP7899,Pigments & Colorants,ColorPlus Manufacturing,133.7208826
246,247,PO9342,Packaging,Pioneer Packaging,13.50638466
247,248,SI7017,Commodity Resins,Sunlight Industries,8.775228872
248,249,PO9342,Packaging,Pioneer Packaging,22.80448413
249,250,CP7899,Pigments & Colorants,ColorPlus Manufacturing,49.81434759
250,251,SI8599,Solvents,Sunlight Industries,41.31735949
251,252,CP5644,Specialty Resins,ColorPlus Manufacturing,40.75922506
252,253,CP7899,Pigments & Colorants,ColorPlus Manufacturing,54.32151811
253,254,SI9085,Additives,Sunlight Industries,31.13869572
254,255,CP5644,Specialty Resins,ColorPlus Manufacturing,44.97525903
255,256,PO9342,Packaging,Pioneer Packaging,11.5707718
256,257,CP5644,Specialty Resins,ColorPlus Manufacturing,22.17094245
257,258,PO9342,Packaging,Pioneer Packaging,17.87684244
258,259,SI0179,Latex & Monomers,Sunlight Industries,37.03484822
259,260,SI7017,Commodity Resins,Sunlight Industries,4.397762896
260,261,CP7899,Pigments & Colorants,ColorPlus Manufacturing,34.76088775
261,262,CP5644,Specialty Resins,ColorPlus Manufacturing,38.79650514
262,263,CP7899,Pigments & Colorants,ColorPlus Manufacturing,68.26124099
263,264,SI8599,Solvents,Sunlight Industries,33.17585302
264,265,SI7017,Commodity Resins,Sunlight Industries,5.642289387
265,266,PO9342,Packaging,Pioneer Packaging,22.42129187
266,267,PO9342,Packaging,Pioneer Packaging,10.63591079
267,268,SI7017,Commodity Resins,Sunlight Industries,8.922812342
268,269,SI0179,Latex & Monomers,Sunlight Industries,49.89740604
269,270,SI0179,Latex & Monomers,Sunlight Industries,48.84575359
270,271,CP5644,Specialty Resins,ColorPlus Manufacturing,41.84212347
271,272,SI7017,Commodity Resins,Sunlight Industries,5.392624497
272,273,SI7017,Commodity Resins,Sunlight Industries,7.583811418
273,274,CP7899,Pigments & Colorants,ColorPlus Manufacturing,51.21534613
274,275,CP5644,Specialty Resins,ColorPlus Manufacturing,34.75352151
275,276,CP5644,Specialty Resins,ColorPlus Manufacturing,19.69934391
276,277,SI9085,Additives,Sunlight Industries,74.21124562
277,278,CP5644,Specialty Resins,ColorPlus Manufacturing,21.98061129
278,279,SI7017,Commodity Resins,Sunlight Industries,5.431131831
279,280,SI0179,Latex & Monomers,Sunlight Industries,80.47904739
280,281,PO9342,Packaging,Pioneer Packaging,27.49889842
281,282,SI7017,Commodity Resins,Sunlight Industries,6.792869467
282,283,CP4560,Titanium Dioxides,ColorPlus Manufacturing,8.327795637
283,284,SI9085,Additives,Sunlight Industries,62.01726072
284,285,SI9085,Additives,Sunlight Industries,16.37052865
285,286,CP7899,Pigments & Colorants,ColorPlus Manufacturing,43.85055432
286,287,SI0179,Latex & Monomers,Sunlight Industries,61.03491059
287,288,SI9085,Additives,Sunlight Industries,32.21648508
288,289,PO9342,Packaging,Pioneer Packaging,23.46763349
289,290,CP4560,Titanium Dioxides,ColorPlus Manufacturing,10.96458592
290,291,CP7899,Pigments & Colorants,ColorPlus Manufacturing,119.7611409
291,292,PO9342,Packaging,Pioneer Packaging,25.03724565
292,293,SI8599,Solvents,Sunlight Industries,55.53120044
293,294,SI8599,Solvents,Sunlight Industries,38.25985312
294,295,SI7017,Commodity Resins,Sunlight Industries,7.477448211
295,296,SI8599,Solvents,Sunlight Industries,54.95899063
296,297,CP5644,Specialty Resins,ColorPlus Manufacturing,19.41486954
297,298,SI7017,Commodity Resins,Sunlight Industries,7.728530718
298,299,CP5644,Specialty Resins,ColorPlus Manufacturing,16.9835464
299,300,SI9085,Additives,Sunlight Industries,37.63946691
300,301,CP5644,Specialty Resins,ColorPlus Manufacturing,22.04516014
301,302,SI0179,Latex & Monomers,Sunlight Industries,85.33942623
302,303,PO9342,Packaging,Pioneer Packaging,25.43517605
303,304,SI7017,Commodity Resins,Sunlight Industries,8.176881491
304,305,CP4560,Titanium Dioxides,ColorPlus Manufacturing,12.06574276
305,306,CP7899,Pigments & Colorants,ColorPlus Manufacturing,51.17915936
306,307,CP4560,Titanium Dioxides,ColorPlus Manufacturing,11.7785636
307,308,PO9342,Packaging,Pioneer Packaging,18.67253345
308,309,SI8599,Solvents,Sunlight Industries,31.9589436
309,310,PO9342,Packaging,Pioneer Packaging,16.01402466
310,311,SI8599,Solvents,Sunlight Industries,15.37103624
311,312,CP5644,Specialty Resins,ColorPlus Manufacturing,15.96062241
312,313,SI8599,Solvents,Sunlight Industries,29.13954518
313,314,CP5644,Specialty Resins,ColorPlus Manufacturing,33.61031176
314,315,SI9085,Additives,Sunlight Industries,42.34242557
315,316,PO9342,Packaging,Pioneer Packaging,13.38087476
316,317,CP7899,Pigments & Colorants,ColorPlus Manufacturing,122.8240265
317,318,SI0179,Latex & Monomers,Sunlight Industries,63.98013305
318,319,SI7017,Commodity Resins,Sunlight Industries,5.534271979
319,320,CP4560,Titanium Dioxides,ColorPlus Manufacturing,12.51706376
320,321,SI8599,Solvents,Sunlight Industries,24.59693019
321,322,SI7017,Commodity Resins,Sunlight Industries,3.535084355
322,323,CP7899,Pigments & Colorants,ColorPlus Manufacturing,67.41600519
323,324,CP5644,Specialty Resins,ColorPlus Manufacturing,39.7674896
324,325,CP7899,Pigments & Colorants,ColorPlus Manufacturing,53.53969946
325,326,SI0179,Latex & Monomers,Sunlight Industries,83.1575224
326,327,CP4560,Titanium Dioxides,ColorPlus Manufacturing,8.375058496
327,328,SI9085,Additives,Sunlight Industries,13.94655546
328,329,CP4560,Titanium Dioxides,ColorPlus Manufacturing,6.418624234
329,330,CP4560,Titanium Dioxides,ColorPlus Manufacturing,13.41609308
330,331,SI0179,Latex & Monomers,Sunlight Industries,61.69962042
331,332,PO9342,Packaging,Pioneer Packaging,14.21615952
332,333,SI9085,Additives,Sunlight Industries,41.48982236
333,334,SI0179,Latex & Monomers,Sunlight Industries,40.90429197
334,335,SI7017,Commodity Resins,Sunlight Industries,3.820848656
335,336,CP5644,Specialty Resins,ColorPlus Manufacturing,41.39045055
336,337,CP5644,Specialty Resins,ColorPlus Manufacturing,30.16223289
337,338,CP4560,Titanium Dioxides,ColorPlus Manufacturing,14.21031621
338,339,SI7017,Commodity Resins,Sunlight Industries,8.218352178
339,340,CP7899,Pigments & Colorants,ColorPlus Manufacturing,99.14287763
340,341,SI9085,Additives,Sunlight Industries,48.549906
341,342,CP5644,Specialty Resins,ColorPlus Manufacturing,34.60277521
342,343,CP7899,Pigments & Colorants,ColorPlus Manufacturing,37.27257641
343,344,PO9342,Packaging,Pioneer Packaging,19.67922468
344,345,SI9085,Additives,Sunlight Industries,34.67195804
345,346,CP4560,Titanium Dioxides,ColorPlus Manufacturing,7.768807
346,347,SI7017,Commodity Resins,Sunlight Industries,6.358838924
347,348,SI9085,Additives,Sunlight Industries,66.5832606
348,349,SI0179,Latex & Monomers,Sunlight Industries,60.76756314
349,350,SI8599,Solvents,Sunlight Industries,51.33158449
350,351,CP4560,Titanium Dioxides,ColorPlus Manufacturing,6.63466682
351,352,CP5644,Specialty Resins,ColorPlus Manufacturing,43.62221301
352,353,CP4560,Titanium Dioxides,ColorPlus Manufacturing,14.85680881
353,354,CP7899,Pigments & Colorants,ColorPlus Manufacturing,113.4059849
354,355,CP5644,Specialty Resins,ColorPlus Manufacturing,42.34532598
355,356,CP5644,Specialty Resins,ColorPlus Manufacturing,41.93169164
356,357,SI7017,Commodity Resins,Sunlight Industries,9.456465665
357,358,SI9085,Additives,Sunlight Industries,15.32485356
358,359,SI9085,Additives,Sunlight Industries,30.64851297
359,360,PO9342,Packaging,Pioneer Packaging,23.0586222
360,361,CP4560,Titanium Dioxides,ColorPlus Manufacturing,7.001483618
361,362,SI7017,Commodity Resins,Sunlight Industries,5.314064986
362,363,SI7017,Commodity Resins,Sunlight Industries,5.94163595
363,364,SI0179,Latex & Monomers,Sunlight Industries,55.4390572
364,365,CP7899,Pigments & Colorants,ColorPlus Manufacturing,116.9742236
365,366,PO9342,Packaging,Pioneer Packaging,19.95838881
366,367,SI8599,Solvents,Sunlight Industries,54.55011202
367,368,SI7017,Commodity Resins,Sunlight Industries,5.875200766
368,369,SI8599,Solvents,Sunlight Industries,21.94533878
369,370,CP5644,Specialty Resins,ColorPlus Manufacturing,16.68186397
370,371,SI8599,Solvents,Sunlight Industries,29.22393582
371,372,SI8599,Solvents,Sunlight Industries,37.86598404
372,373,CP5644,Specialty Resins,ColorPlus Manufacturing,24.44036395
373,374,CP7899,Pigments & Colorants,ColorPlus Manufacturing,109.1696359
374,375,CP4560,Titanium Dioxides,ColorPlus Manufacturing,9.885838427
375,376,PO9342,Packaging,Pioneer Packaging,13.79080968
376,377,CP7899,Pigments & Colorants,ColorPlus Manufacturing,105.4425103
377,378,SI9085,Additives,Sunlight Industries,39.71141612
378,379,CP4560,Titanium Dioxides,ColorPlus Manufacturing,8.531014245
379,380,SI8599,Solvents,Sunlight Industries,17.36935621
380,381,SI8599,Solvents,Sunlight Industries,27.92995186
381,382,PO9342,Packaging,Pioneer Packaging,10.35713092
382,383,PO9342,Packaging,Pioneer Packaging,10.77478642
383,384,CP4560,Titanium Dioxides,ColorPlus Manufacturing,6.633072886
384,385,PO9342,Packaging,Pioneer Packaging,26.47064408
385,386,SI7017,Commodity Resins,Sunlight Industries,4.902922498
386,387,SI7017,Commodity Resins,Sunlight Industries,4.309274937
387,388,CP4560,Titanium Dioxides,ColorPlus Manufacturing,14.41569241
388,389,CP7899,Pigments & Colorants,ColorPlus Manufacturing,147.5516743
389,390,SI8599,Solvents,Sunlight Industries,43.04044923
390,391,SI8599,Solvents,Sunlight Industries,48.8917683
391,392,CP5644,Specialty Resins,ColorPlus Manufacturing,36.60905309
392,393,SI9085,Additives,Sunlight Industries,13.60014708
393,394,CP5644,Specialty Resins,ColorPlus Manufacturing,30.81798852
394,395,SI9085,Additives,Sunlight Industries,70.22594488
395,396,CP7899,Pigments & Colorants,ColorPlus Manufacturing,61.36153993
396,397,CP4560,Titanium Dioxides,ColorPlus Manufacturing,11.14821646
397,398,CP5644,Specialty Resins,ColorPlus Manufacturing,25.66275451
398,399,SI7017,Commodity Resins,Sunlight Industries,4.181044979
399,400,CP4560,Titanium Dioxides,ColorPlus Manufacturing,5.106159529
400,401,SI9085,Additives,Sunlight Industries,56.55747865
401,402,SI8599,Solvents,Sunlight Industries,47.36817368
402,403,SI7017,Commodity Resins,Sunlight Industries,4.131230234
403,404,CP7899,Pigments & Colorants,ColorPlus Manufacturing,130.2299607
404,405,PO9342,Packaging,Pioneer Packaging,29.60945498
405,406,PO9342,Packaging,Pioneer Packaging,22.47463831
406,407,CP5644,Specialty Resins,ColorPlus Manufacturing,15.26516061
407,408,SI7017,Commodity Resins,Sunlight Industries,9.07947152
408,409,PO9342,Packaging,Pioneer Packaging,20.76882932
409,410,SI9085,Additives,Sunlight Industries,67.0024897
410,411,CP4560,Titanium Dioxides,ColorPlus Manufacturing,10.63108269
411,412,CP5644,Specialty Resins,ColorPlus Manufacturing,16.23953232
412,413,CP7899,Pigments & Colorants,ColorPlus Manufacturing,149.4004985
413,414,SI0179,Latex & Monomers,Sunlight Industries,65.40569557
414,415,CP7899,Pigments & Colorants,ColorPlus Manufacturing,112.4152722
415,416,SI7017,Commodity Resins,Sunlight Industries,6.096350516
416,417,SI9085,Additives,Sunlight Industries,71.32000175
417,418,SI9085,Additives,Sunlight Industries,31.65599791
418,419,CP5644,Specialty Resins,ColorPlus Manufacturing,34.51070405
419,420,CP5644,Specialty Resins,ColorPlus Manufacturing,29.14176268
420,421,CP4560,Titanium Dioxides,ColorPlus Manufacturing,14.52471073
421,422,SI8599,Solvents,Sunlight Industries,43.18419526
422,423,CP4560,Titanium Dioxides,ColorPlus Manufacturing,11.71496054
423,424,PO9342,Packaging,Pioneer Packaging,27.2258709
